zip_code,Total_All_loans,Total_Female Owned_loans,Total_Male Owned_loans,Total_Unanswered_loans,White_All_loans,White_Female Owned_loans,White_Male Owned_loans,White_Unanswered_loans,Black_All_loans,Black_Female Owned_loans,Black_Male Owned_loans,Black_Unanswered_loans,Hispanic_All_loans,Hispanic_Female Owned_loans,Hispanic_Male Owned_loans,Hispanic_Unanswered_loans,Asian_All_loans,Asian_Female Owned_loans,Asian_Male Owned_loans,Asian_Unanswered_loans,Total_All_loan_amnt,Total_Female Owned_loan_amnt,Total_Male Owned_loan_amnt,Total_Unanswered_loan_amnt,White_All_loan_amnt,White_Female Owned_loan_amnt,White_Male Owned_loan_amnt,White_Unanswered_loan_amnt,Black_All_loan_amnt,Black_Female Owned_loan_amnt,Black_Male Owned_loan_amnt,Black_Unanswered_loan_amnt,Hispanic_All_loan_amnt,Hispanic_Female Owned_loan_amnt,Hispanic_Male Owned_loan_amnt,Hispanic_Unanswered_loan_amnt,Asian_All_loan_amnt,Asian_Female Owned_loan_amnt,Asian_Male Owned_loan_amnt,Asian_Unanswered_loan_amnt
37204,2758,282,630,1846,376,132,232,12,44,24,16,4,44,8,36,,24,2,20,2,368795808,12754668,71647846,284393292,37698826,7221227,26610636,3866964,1074908,559952,272442,242514,5405074,183512,5221562,,820042,160600,600110,59332
37205,2600,272,506,1822,350,144,200,6,26,4,18,4,12,,12,,22,,22,,205566497,9695259,38817616,157053624,13690270,3524378,9870252,295640,384698,69034,299130,16534,432692,,432692,,1276668,,1276668,
37207,3622,794,888,1940,184,58,122,4,946,512,424,10,34,14,20,,28,2,26,,185390882,14280434,38523042,132587406,13621730,3011714,10353872,256144,16861144,8187570,8469540,204034,1120982,217130,903852,,1298648,31250,1267398,
37208,1984,404,518,1062,136,36,98,2,422,208,210,4,16,4,12,,28,10,18,,96754532,12608101,25233251,58913180,9383430,871916,7768914,742600,8546450,3592276,4904635,49540,1112090,20298,1091792,,783960,259960,524000,
37212,2334,322,520,1492,406,142,252,12,42,14,28,,20,12,8,,10,4,6,,157779775,8981782,34270954,114527038,20163594,3013740,15742158,1407696,823280,157244,666036,,564240,95122,469118,,507086,54396,452690,
37215,3028,300,540,2188,380,158,218,4,34,16,18,,6,,6,,24,,22,2,223454863,18993437,32608864,171852560,20638248,7538797,12925782,173670,961408,418438,542970,,609838,,609838,,1291806,,1208606,83200
37218,1162,278,310,574,34,10,24,,340,186,148,6,16,6,10,,32,14,18,,43513832,4825900,16327837,22360096,1228784,97600,1131184,,6263200,3382849,2783656,96696,278228,85028,193200,,552730,234334,318396,
37220,682,96,118,468,114,54,56,4,10,4,6,,6,6,,,6,,6,,38234840,2888636,6308070,29038134,3862596,902252,2887926,72416,256248,45604,210644,,63080,63080,,,214484,,214484,
37228,466,60,112,294,48,12,34,2,60,34,26,,4,,2,2,6,,6,,137034165,2684466,22098528,112251172,10074678,1121962,8617716,335000,1062280,609520,452762,,12684400,,8684400,4000000,326528,,326528,
37240,2,,,2,,,,,,,,,,,,,,,,,35214,,,35214,,,,,,,,,,,,,,,,